account,total_pnl,mean_pnl,pnl_std,win_rate,profit_day_rate,avg_risk_size,avg_trades_day,n_trading_days,total_volume,crossed_share,long_ratio,open_share,close_share,flip_share,fee_bps,turnover_ratio,gross_profit,gross_loss,max_drawdown,sharpe_proxy,calmar_proxy,profit_factor,loss_day_rate,risk_segment,activity_segment,consistency_segment,execution_segment,cluster,archetype
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2040922.4260490001,408184.4852098,612159.0976384933,0.7472487275959059,1.0,5106.900183817335,2882.0,5,55900950.94,0.8092310295682152,0.4337553679054409,0.3974674096049827,0.3095001537462019,0.001235370611183355,3.4153376674262907,0.14922808341103205,2101995.085761,61072.659712,0.0,0.6667947708111182,,34.41793915105984,0.0,High Ticket,Frequent,Inconsistent,Aggressive Taker,1,Aggressive Takers
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,800114.9099895,1594696.6427804816,0.47034688633274174,0.5,15578.066878995556,1909.0,2,61697263.97,0.11509591917815994,0.3846402901826025,0.6122309851451687,0.38762002796567757,0.00014898688915375446,1.3867611034174008,0.004448353649557179,2031705.266092,431475.44611300004,0.0,0.5017348682658762,,4.708739012601686,0.5,High Ticket,Frequent,Inconsistent,Patient Executor,0,Patient Position Builders
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940157.212682,940157.212682,,0.9911955977988994,1.0,3210.7751864086836,21190.0,1,68036326.2,0.3263331760264276,0.5283152430391694,0.5282680509674375,0.4715903728173667,0.0,1.2635457020339527,0.0005582083160617092,940191.768165,34.555482999999995,0.0,,,27208.179036739268,0.0,Mid Ticket,Frequent,Consistent,Patient Executor,0,Patient Position Builders
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,104135.46808525,72509.12904270686,1.0,0.75,3111.6620970235913,262.75,4,2712102.36,0.5422433025694432,0.3316260571346489,0.13229669796922414,0.4843559591709645,0.0,7.786884072089975,0.024669819811088966,416541.87234099995,0.0,0.0,1.4361704444679741,,,0.25,Mid Ticket,Selective,Consistent,Patient Executor,1,Aggressive Takers
0x513b8629fe877bb581bf244e326a047b249c4ff1,403501.648209,201750.8241045,285318.75166853267,0.8955613577023499,0.5,15783.011971052674,3000.0,2,164242111.22,0.8434308464601004,0.7290115977150771,0.24268651549247014,0.19162194910853383,0.0002596503375454388,0.9460915585257298,0.005183376159372513,513228.23302399996,109726.58481500001,0.0,0.7071067811865475,,4.677337163908886,0.5,High Ticket,Frequent,Mixed,Aggressive Taker,1,Aggressive Takers
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,393683.014159,196841.5070795,205207.94245249778,0.8875,1.0,2214.3003479174768,679.0,2,2959751.83,0.002129925452609159,0.3187707940961923,0.7215694348072519,0.26871754595987707,0.0,0.9527299072421807,0.012084357268427213,415911.332628,22228.318469,0.0,0.9592294758526003,,18.710876992699074,0.0,Mid Ticket,Selective,Mixed,Patient Executor,1,Aggressive Takers
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,361576.6227,90394.155675,86720.03206263528,0.7845622824282728,1.0,2024.855107183806,2237.0,4,24657252.259999998,0.36618327607404694,0.4937199237450791,0.21791641256712374,0.7730303001916344,0.0007801768865423988,1.3839825318153456,1.4821117439206117,410807.59221100004,49230.969511,0.0,1.042367645917278,,8.344495269775473,0.0,Low Ticket,Frequent,Inconsistent,Patient Executor,0,Patient Position Builders
0x4f93fead39b70a1824f981a54d4e55b278e9f760,301287.891529,75321.97288225,116302.38300087833,0.8952960879016914,0.5,14130.896722149999,1869.75,4,127825348.87,1.0,0.5389791127183657,0.617275499722613,0.3783760198399977,0.00019098548510313216,3.303810446336108,0.09434815091722054,517038.04499300005,215750.15346399997,-25991.506339,0.6476391191544301,2.8979456557787158,2.396466638339022,0.5,High Ticket,Selective,Mixed,Aggressive Taker,1,Aggressive Takers
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.59273200002,99752.79636600001,118299.28661641778,1.0,1.0,5522.192161395349,191.5,2,1987527.61,0.24382945736434108,0.2328527131782946,0.7252093023255815,0.22815503875968993,0.001937984496124031,1.3890491271907184,0.04888743480368442,199505.59273200002,0.0,0.0,0.8432239890798813,,,0.0,High Ticket,Selective,Consistent,Patient Executor,1,Aggressive Takers
0x8170715b3b381dffb7062c0298972d4727a0a63b,196303.792847,98151.8964235,138807.74309475298,0.8191985088536813,0.5,2291.4922229493895,1535.5,2,6910177.08,0.04630235602094241,0.6601767015706806,0.3244437172774869,0.17326570680628273,0.0001636125654450262,0.6615430711072171,0.08053235479481956,240368.96585200002,44065.173005000004,0.0,0.7071067811865476,,5.454851290944115,0.5,Mid Ticket,Selective,Inconsistent,Patient Executor,1,Aggressive Takers
